Lead Origin,Lead Source,Do Not Email,Do Not Call,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Tags,Lead Quality,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,A free copy of Mastering The Interview,Last Notable Activity,Lead_Score (%)
0.0,1,0,0,5.0,1837,2.5,5,12,4,6,4,0,0,0,0,0,0,0,19,0,3,5,1,0,14.0,17.0,0,4,99.98995
0.0,7,0,0,2.0,631,1.0,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,0,1,16.0,15.0,0,8,99.56084
1.0,1,0,0,1.0,891,1.0,1,12,12,6,3,0,0,0,0,0,0,0,10,1,3,2,1,0,15.0,19.0,1,8,99.987854
2.0,14,0,0,0.0,0,0.0,5,12,15,6,4,0,0,0,0,0,0,0,2,2,4,4,1,1,15.0,15.0,0,8,99.99356
2.0,14,0,0,0.0,0,0.0,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,14.0,15.0,0,4,99.860245
0.0,11,0,0,11.0,825,11.0,9,12,4,6,5,0,0,0,0,0,0,0,19,1,3,5,0,1,17.0,15.0,0,8,99.970474
2.0,10,0,0,3.4452378336812,1704,2.36281994946721,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,0,14.0,17.0,0,8,99.05442
0.0,7,0,0,3.0,1154,1.0,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,0,1,16.0,15.0,0,8,99.97291
2.0,10,0,0,3.4452378336812,1262,2.36281994946721,5,12,12,6,4,0,0,0,0,0,0,0,19,0,3,2,1,0,14.0,19.0,0,8,99.89851
2.0,10,0,0,0.0,0,0.0,5,12,0,6,5,0,0,0,0,0,0,0,19,2,3,4,1,0,14.0,19.0,0,4,99.96093
1.0,11,0,0,6.0,104,3.0,5,12,7,6,4,0,0,0,0,0,0,0,19,2,4,3,1,1,15.0,15.0,1,4,97.394196
1.0,3,0,0,4.0,228,4.0,5,12,0,9,4,0,0,0,0,0,0,0,19,1,3,5,1,0,14.0,19.0,0,4,99.22937
1.0,7,0,0,4.0,31,1.33,5,12,12,6,5,0,0,0,0,0,0,0,19,2,3,1,1,0,15.0,18.0,1,4,99.983406
1.0,1,0,0,2.0,526,2.0,7,35,7,6,4,0,0,0,0,0,0,0,19,3,3,4,1,0,14.0,18.0,0,8,98.702515
1.0,1,0,0,5.0,254,1.25,5,12,4,6,4,0,0,0,0,0,0,0,10,2,4,0,2,0,12.0,18.0,1,4,98.147896
2.0,10,0,0,3.4452378336812,803,2.36281994946721,5,12,7,6,4,0,0,0,0,0,0,0,19,1,3,0,1,0,14.0,20.0,0,8,99.94665
1.0,3,0,0,4.0,595,4.0,10,12,0,3,4,0,0,0,0,0,0,0,19,3,4,5,1,0,15.0,17.0,0,8,99.069115
0.0,3,1,0,7.0,1281,1.75,2,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,15.0,15.0,0,1,98.0967
0.0,7,0,0,3.0,117,3.0,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,15.0,15.0,0,8,98.87827
1.0,3,0,0,5.0,263,2.5,5,12,10,3,4,0,0,0,0,0,0,0,19,2,4,0,0,0,16.0,18.0,0,4,98.26517
0.0,3,0,0,10.0,556,5.0,9,12,4,2,4,0,0,0,0,0,0,0,19,2,4,0,0,1,16.0,16.0,0,8,97.705475
0.0,11,0,0,5.0,1536,5.0,5,12,7,6,5,0,0,0,0,0,0,0,19,1,3,5,1,1,14.0,15.0,0,4,99.991905
0.0,3,0,0,4.0,1088,4.0,10,12,17,9,5,0,0,0,0,0,0,0,19,0,3,0,0,0,16.0,18.0,0,8,99.99901
1.0,11,0,0,6.0,863,6.0,5,12,12,6,4,0,0,0,0,0,0,0,19,1,3,5,0,0,16.0,17.0,1,4,99.97079
0.0,7,0,0,7.0,950,2.33,5,12,7,6,4,0,0,0,0,0,0,0,19,2,3,4,1,1,15.0,16.0,0,4,99.99988
1.0,1,0,0,7.0,901,7.0,5,12,10,3,4,0,0,0,0,0,0,0,19,1,3,0,0,0,16.0,20.0,0,4,99.998764
2.0,10,0,0,0.0,0,0.0,5,12,0,6,4,0,0,0,0,0,0,0,19,0,3,0,1,0,14.0,20.0,0,4,99.018456
1.0,7,0,0,21.0,1113,2.63,5,12,12,6,4,0,0,0,0,0,0,0,19,1,4,0,1,0,15.0,18.0,1,4,99.948
2.0,10,0,0,3.4452378336812,43,2.36281994946721,5,12,11,6,4,0,0,0,0,0,0,0,19,2,3,0,1,0,14.0,19.0,0,8,98.46776
2.0,3,0,0,0.0,0,0.0,5,12,17,6,4,0,0,0,0,0,0,0,19,0,1,5,1,0,15.0,18.0,0,4,95.22354
2.0,10,0,0,0.0,0,0.0,3,12,7,6,4,0,0,0,0,0,0,0,2,1,3,0,1,0,15.0,20.0,0,2,99.99405
1.0,11,0,0,5.0,1216,2.5,5,2,9,6,5,0,0,0,0,0,0,0,19,2,4,1,1,1,15.0,15.0,1,4,99.99187
0.0,6,0,0,0.0,0,0.0,13,12,4,6,4,0,0,0,0,0,0,0,19,1,3,1,0,1,16.0,16.0,0,13,99.99553
2.0,10,0,0,3.4452378336812,972,2.36281994946721,5,12,5,6,5,0,0,0,0,0,0,0,19,1,3,0,1,0,14.0,17.0,0,8,99.99901
2.0,10,0,0,3.4452378336812,781,2.36281994946721,5,12,17,6,4,0,0,0,0,0,0,0,19,1,3,0,1,0,14.0,20.0,0,8,99.91848
1.0,3,0,0,4.0,1226,4.0,5,12,4,7,4,0,0,0,0,0,0,0,19,1,3,0,1,0,13.0,20.0,0,4,99.90507
2.0,14,0,0,0.0,0,0.0,5,12,7,6,4,0,0,0,0,0,0,0,2,0,1,0,1,0,15.0,18.0,0,8,99.98385
1.0,7,0,0,4.0,1378,4.0,8,12,7,6,4,0,0,0,0,0,0,0,19,2,4,4,1,0,14.0,17.0,0,8,97.317
0.0,7,0,0,3.0,1636,1.5,10,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,1,1,15.0,15.0,0,10,96.48632
1.0,3,0,0,1.0,214,1.0,1,12,17,3,4,0,0,0,0,0,0,0,19,2,4,1,1,1,15.0,16.0,0,8,96.55897
1.0,3,0,0,9.0,1289,2.25,5,12,8,6,5,0,0,0,0,0,0,0,2,0,3,0,1,0,15.0,17.0,1,4,99.999954
1.0,3,0,0,5.0,472,5.0,8,12,10,6,4,0,0,0,0,0,0,0,19,2,4,0,1,0,14.0,18.0,1,7,96.12357
1.0,1,1,0,4.0,1354,4.0,14,12,1,2,4,0,0,0,0,0,0,0,19,2,4,0,1,0,14.0,18.0,1,14,99.62444
1.0,7,0,0,5.0,1102,5.0,5,12,7,3,4,0,0,0,0,0,0,0,19,1,4,0,1,0,14.0,18.0,1,4,98.52558
0.0,7,0,0,5.0,1354,2.5,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,14.0,15.0,0,8,99.969925
0.0,11,0,0,3.0,1561,1.5,8,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,13.0,13.0,0,8,98.71268
1.0,3,0,0,10.0,1128,1.43,5,12,10,9,4,0,0,0,0,0,0,0,19,0,3,0,1,0,15.0,20.0,1,4,99.99553
0.0,7,0,0,4.0,1341,2.0,5,12,15,6,4,0,0,0,0,0,0,0,8,4,4,4,1,1,15.0,15.0,0,4,98.609276
1.0,1,0,0,2.0,703,2.0,5,12,4,6,4,0,0,0,0,0,0,0,14,2,4,0,1,0,13.0,18.0,1,4,92.32092
1.0,3,0,0,2.0,1099,2.0,12,12,15,8,4,0,0,0,0,0,0,0,19,2,4,0,1,0,14.0,18.0,0,8,96.79603
1.0,3,0,0,8.0,235,8.0,5,12,10,4,4,0,0,0,0,0,0,0,19,1,3,0,1,0,15.0,20.0,0,8,99.780914
1.0,3,0,0,9.0,1468,9.0,10,12,2,3,4,0,0,0,0,0,0,0,19,1,3,0,0,0,16.0,20.0,0,8,99.974724
1.0,1,0,0,2.0,107,2.0,5,12,2,3,4,0,0,0,0,0,0,0,19,2,3,1,1,0,15.0,18.0,0,4,99.95782
2.0,10,0,0,0.0,0,0.0,12,12,0,6,5,0,0,0,0,0,0,0,19,2,3,4,1,0,15.0,19.0,0,8,99.97979
2.0,14,0,0,0.0,0,0.0,12,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,15.0,15.0,0,8,99.96848
2.0,10,0,0,0.0,0,0.0,5,12,12,6,5,0,0,0,0,0,0,0,2,0,3,4,1,0,14.0,19.0,0,4,99.942604
2.0,14,0,0,0.0,0,0.0,9,12,15,6,4,0,0,0,0,0,0,0,2,2,4,4,0,1,16.0,15.0,0,9,99.77637
1.0,3,0,0,4.0,1357,4.0,12,12,8,3,4,0,0,0,0,0,0,0,19,2,4,5,1,1,15.0,14.0,0,8,97.70597
2.0,10,0,0,1.0,990,1.0,10,12,10,6,3,0,0,0,0,0,0,0,19,1,3,0,1,0,14.0,20.0,0,10,99.78455
1.0,3,0,0,4.0,746,4.0,5,12,7,8,5,0,0,0,0,0,0,0,19,1,1,0,1,0,15.0,19.0,0,4,99.99811
2.0,14,0,0,0.0,0,0.0,12,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,15.0,15.0,0,8,99.96848
1.0,3,0,0,3.0,267,3.0,12,12,4,9,4,0,0,0,0,0,0,0,19,2,4,5,1,0,15.0,17.0,0,8,96.27802
2.0,10,0,0,3.4452378336812,205,2.36281994946721,5,12,4,6,5,0,0,0,0,0,0,0,2,0,1,4,1,0,14.0,18.0,0,8,99.99492
1.0,7,0,0,5.0,1250,5.0,5,12,3,6,5,0,0,0,0,0,0,0,19,2,4,1,1,1,15.0,13.0,1,4,99.98647
2.0,10,0,0,0.0,0,0.0,5,12,2,6,4,0,0,0,0,0,0,0,10,0,3,5,1,0,15.0,19.0,0,4,99.8425
2.0,10,0,0,0.0,0,0.0,5,12,7,6,4,0,0,0,0,0,0,0,2,1,3,5,1,0,15.0,19.0,0,8,99.96141
0.0,6,0,0,0.0,0,0.0,9,12,15,6,4,0,0,0,0,0,0,0,19,2,2,4,0,1,16.0,14.0,0,8,99.83876
2.0,10,0,0,0.0,0,0.0,5,12,4,6,4,0,0,0,0,0,0,0,19,1,3,0,1,0,14.0,20.0,0,4,99.93301
1.0,1,0,0,5.0,1491,2.5,5,12,10,6,5,0,0,0,0,0,0,0,19,0,0,2,1,0,15.0,18.0,1,4,99.99983
1.0,1,0,0,4.0,1385,4.0,5,26,17,6,4,0,0,0,0,0,0,0,19,2,4,5,1,0,14.0,17.0,1,4,98.46197
0.0,3,0,0,3.0,578,3.0,5,12,13,6,5,0,0,0,0,0,0,0,19,2,4,5,1,1,15.0,15.0,0,4,99.96778
2.0,14,0,0,0.0,0,0.0,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,14.0,15.0,0,4,99.860245
2.0,10,0,0,0.0,0,0.0,5,12,6,6,4,0,0,0,0,0,0,0,2,1,3,5,1,1,15.0,16.0,0,8,99.99595
0.0,3,0,0,4.0,913,1.33,5,35,15,6,4,0,0,0,0,0,0,0,19,1,3,5,1,1,14.0,16.0,0,8,99.998726
0.0,6,0,0,0.0,0,0.0,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,1,1,15.0,15.0,0,8,88.3279
1.0,1,0,0,2.0,1012,2.0,7,12,4,6,4,0,0,0,0,0,0,0,10,2,4,0,1,0,13.0,18.0,1,8,99.99159
0.0,6,0,0,0.0,0,0.0,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,15.0,15.0,0,8,97.27404
1.0,7,0,0,3.0,829,3.0,5,12,11,6,5,0,0,0,0,0,0,0,19,2,4,0,1,0,14.0,17.0,1,4,99.96863
1.0,3,0,0,3.0,1208,3.0,9,12,15,3,4,0,0,0,0,0,0,0,19,2,4,0,1,0,15.0,18.0,0,8,96.38619
1.0,1,0,0,7.0,1172,3.5,5,12,4,6,4,0,0,0,0,0,0,0,10,2,4,0,1,0,13.0,18.0,1,4,99.820625
0.0,3,0,0,3.0,1712,3.0,7,12,7,8,4,0,0,0,0,0,0,0,19,2,3,2,1,0,14.0,17.0,0,8,99.77393
1.0,11,0,0,5.0,1342,5.0,5,12,10,6,5,0,0,0,0,0,0,0,19,2,4,3,1,1,13.0,15.0,1,4,99.42201
0.0,7,0,0,9.0,1125,9.0,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,15.0,15.0,0,4,99.923584
0.0,7,0,0,6.0,1779,6.0,5,12,18,6,4,0,0,0,0,0,0,0,19,1,3,0,1,1,15.0,16.0,1,4,99.98424
0.0,6,0,0,5.0,1387,1.67,5,12,0,6,4,0,0,0,0,0,0,0,19,0,3,5,1,0,14.0,17.0,1,4,99.99426
1.0,3,0,0,1.0,598,1.0,1,12,12,0,4,0,0,0,0,0,0,0,1,3,2,5,1,0,15.0,17.0,0,8,98.863396
0.0,3,0,0,3.0,1292,3.0,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,14.0,15.0,0,8,99.65918
1.0,3,0,0,9.0,888,9.0,5,12,4,6,3,0,0,0,0,0,0,0,19,2,4,0,1,0,15.0,18.0,1,4,99.44579
1.0,1,0,0,3.0,1350,1.5,5,12,4,6,4,0,0,0,0,0,0,0,10,2,4,0,2,0,12.0,18.0,1,4,99.42941
0.0,6,0,0,7.0,628,3.5,5,12,0,3,3,0,0,0,0,0,0,0,19,1,3,0,1,0,14.0,18.0,0,4,99.99315
0.0,7,0,0,5.0,1291,5.0,1,12,15,6,4,0,0,0,0,0,0,0,19,3,4,4,1,1,15.0,15.0,0,8,99.90028
1.0,3,0,0,6.0,1092,3.0,10,12,4,3,4,0,0,0,0,0,0,0,19,2,4,0,1,0,15.0,18.0,0,10,99.41386
0.0,3,0,0,3.0,1152,3.0,5,12,15,6,4,0,0,0,0,0,0,0,19,1,3,5,1,1,14.0,16.0,0,4,98.98925
