Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,How did you hear about X Education,What is your current occupation,What matters most to you in choosing a course,Search,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Tags,Lead Quality,Lead Profile,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,A free copy of Mastering The Interview,Last Notable Activity
0,7,0,0,1,6,1012,6,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,14,15,0,4
0,6,0,0,0,0,0,0,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,0,1,17,15,0,8
0,11,0,0,0,6,973,6,3,12,15,6,4,0,0,0,0,0,0,0,8,2,4,4,1,1,13,13,0,8
1,3,0,0,1,6,1688,3,10,12,10,2,4,0,0,0,0,0,0,0,19,2,4,0,1,0,15,18,0,10
0,7,0,0,0,3,98,3,10,12,15,6,4,0,0,0,0,0,0,0,8,4,4,4,1,1,14,15,0,8
1,3,0,0,0,1,233,1,13,12,11,3,4,0,0,0,0,0,0,0,8,3,4,0,1,0,13,17,0,8
0,3,0,0,0,4,377,1.33,10,12,15,6,4,0,0,0,0,0,0,0,5,4,3,4,1,1,15,16,0,8
1,3,0,0,1,1,1013,1,1,12,0,0,4,0,0,0,0,0,0,0,19,1,3,0,1,0,15,20,0,8
1,3,0,0,0,4,771,4,3,12,4,8,4,0,0,0,0,0,0,0,14,3,4,0,1,0,14,18,0,2
0,3,0,0,1,6,1137,1.5,5,12,10,6,4,0,0,0,0,0,0,0,19,0,3,0,1,0,14,18,1,4
1,3,0,0,1,3,1068,3,7,12,18,4,4,0,0,0,0,0,0,0,1,3,4,0,1,1,14,16,0,8
1,7,0,0,1,4,1000,2,5,12,4,6,4,0,0,0,0,0,0,0,19,1,3,1,2,0,11,18,1,4
1,3,0,0,1,6,1315,6,5,12,11,3,4,0,0,0,0,0,0,0,19,0,3,0,1,0,15,19,0,4
1,1,0,0,0,5,182,5,5,12,15,6,3,0,0,0,0,0,0,0,24,2,4,0,1,0,13,18,0,4
0,3,0,0,1,3,78,3,13,12,9,6,4,0,0,0,0,0,0,0,19,0,3,0,0,0,16,18,0,13
1,1,0,0,1,7,1174,3.5,5,12,7,6,4,0,0,0,0,0,0,0,19,2,4,0,1,0,15,18,1,4
0,3,0,0,0,3,88,1.5,5,12,15,6,4,0,0,0,0,0,0,0,8,3,4,4,1,1,13,15,0,8
0,11,0,0,0,4,223,2,10,12,15,6,4,0,0,0,0,0,0,0,8,1,4,4,1,1,15,13,0,8
0,7,0,0,0,3,74,1.5,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,2,1,12,15,0,8
1,7,0,0,1,4,16,2,10,12,3,6,4,0,0,0,0,0,0,0,19,2,3,0,1,0,15,17,1,8
0,11,0,0,1,3,98,3,5,12,7,6,4,0,0,0,0,0,0,0,19,0,3,5,1,1,14,15,0,8
1,3,0,0,0,4,1622,4,13,12,12,9,4,0,0,0,0,0,0,0,14,2,4,0,2,0,12,18,0,8
1,3,0,0,1,5,563,5,5,12,4,8,5,0,0,0,0,0,0,0,19,1,3,0,1,0,13,20,0,4
0,3,0,0,0,2,310,2,3,12,15,6,4,0,0,0,0,0,0,0,14,3,4,4,1,1,14,15,0,2
1,3,0,0,1,4,25,4,5,12,12,1,4,0,0,0,0,0,0,0,19,0,3,2,1,0,14,19,0,4
0,1,0,0,0,3,342,3,5,12,15,6,4,0,0,0,0,0,0,0,1,2,4,4,1,1,14,15,0,4
1,7,1,0,0,7,38,7,14,12,13,9,4,0,0,0,0,0,0,0,1,3,2,0,1,0,13,18,1,14
0,3,0,0,0,5,199,5,5,12,15,6,4,0,0,0,0,0,0,0,14,2,4,4,1,1,14,15,0,4
1,3,0,0,0,5,222,5,5,12,4,3,4,0,0,0,0,0,0,0,19,2,4,0,1,0,13,18,0,4
1,1,0,0,0,6,275,3,5,12,12,6,4,0,0,0,0,0,0,0,20,2,4,0,2,0,10,18,1,4
1,3,0,0,0,4,287,2,5,12,10,4,4,0,0,0,0,0,0,0,14,2,4,0,1,0,13,18,0,4
1,1,0,0,0,2,547,2,5,12,4,6,4,0,0,0,0,0,0,0,0,0,3,0,1,0,15,20,1,4
0,6,0,0,0,0,0,0,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,0,1,17,15,0,8
0,3,0,0,0,6,1225,6,10,12,17,6,4,0,0,0,0,0,0,0,3,4,2,5,2,1,12,15,0,8
0,6,0,0,0,0,0,0,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,0,1,17,15,0,8
0,6,0,0,1,0,0,0,5,12,15,6,4,0,0,0,0,0,0,0,19,1,3,5,1,1,15,16,0,8
1,3,0,0,0,5,160,5,5,12,1,3,4,0,0,0,0,0,0,0,0,2,4,0,0,0,17,18,0,4
1,7,0,0,0,6,394,2,13,12,3,6,4,0,0,0,0,0,0,0,14,2,4,0,1,1,13,15,1,8
0,3,0,0,0,6,286,1.5,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,0,1,16,15,0,8
0,7,0,0,0,7,96,2.33,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,1,1,13,15,0,4
0,7,0,0,0,2,12,2,5,12,15,6,4,0,0,0,0,0,0,0,24,2,4,4,1,1,15,15,0,4
1,11,0,0,1,13,436,13,7,12,8,3,4,0,0,0,0,0,0,0,1,1,3,3,1,1,15,13,0,8
0,11,0,0,1,8,903,8,10,12,4,6,4,0,0,0,0,0,0,0,19,0,3,2,0,1,16,15,0,10
1,7,0,0,0,17,409,8.5,5,12,7,6,4,0,0,0,0,0,0,0,8,2,4,0,1,0,14,18,1,8
1,11,0,0,0,11,685,5.5,5,12,16,6,4,0,0,0,0,0,0,0,4,3,4,5,2,1,11,13,1,4
0,3,0,0,0,4,213,4,7,12,9,2,4,0,0,0,0,0,0,0,8,3,2,0,1,1,13,16,0,8
0,6,0,0,0,0,0,0,5,12,15,6,4,0,0,0,0,0,0,0,14,2,4,4,1,1,14,15,0,4
0,7,0,0,1,7,1468,3.5,10,12,10,6,4,0,0,0,0,0,0,0,19,0,3,0,1,0,15,18,0,8
0,6,0,0,0,0,0,0,3,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,1,1,15,15,0,8
1,1,0,0,1,4,1435,4,5,12,12,6,5,0,0,0,0,0,0,0,19,2,3,1,2,0,12,18,1,4
1,3,0,0,1,1,157,1,1,12,6,9,4,0,0,0,0,0,0,0,19,2,4,2,1,1,15,14,0,8
0,3,0,0,1,3,885,1.5,8,12,12,6,4,0,0,0,0,0,0,0,19,0,3,0,1,0,15,18,0,7
0,6,0,0,1,0,0,0,5,12,15,6,4,0,0,0,0,0,0,0,19,1,3,2,1,1,15,16,0,8
0,6,0,0,0,0,0,0,15,12,4,6,4,0,0,0,0,0,0,0,8,1,2,4,2,1,12,14,0,8
0,6,0,0,0,0,0,0,9,12,15,6,4,0,0,0,0,0,0,0,14,2,4,4,1,1,15,15,0,8
1,1,0,0,0,1,1710,1,1,12,13,6,4,0,0,0,0,0,0,0,0,4,3,5,0,0,16,19,1,8
1,1,0,0,0,4,219,4,5,12,1,9,4,0,0,0,0,0,0,0,14,2,4,0,1,0,13,18,0,4
1,11,1,0,0,3,111,3,2,12,9,6,4,0,0,0,0,0,0,0,14,3,4,3,1,1,13,15,1,8
0,7,0,0,0,6,224,6,10,12,15,6,4,0,0,0,0,0,0,0,24,3,4,4,1,1,14,15,0,8
1,1,0,0,0,5,224,1.67,10,12,12,6,4,0,0,0,0,0,0,0,19,2,4,2,1,0,13,17,1,10
1,1,0,0,1,2,1071,2,5,12,10,6,4,0,0,0,0,0,0,0,10,3,4,2,2,0,12,17,1,4
1,3,0,0,1,6,595,3,5,12,0,9,5,0,0,0,0,0,0,0,19,1,3,0,1,0,14,20,0,4
2,14,0,0,1,3.4452378336812,1096,2.36281994946721,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,14,15,0,8
0,11,0,0,0,4,520,4,5,12,12,8,4,0,0,0,0,0,0,0,20,2,4,0,2,1,10,15,0,4
2,10,0,0,1,3.4452378336812,705,2.36281994946721,5,12,6,6,5,0,0,0,0,0,0,0,19,1,3,5,1,1,14,16,0,8
0,3,0,0,0,2,393,2,5,12,15,6,4,0,0,0,0,0,0,0,14,3,2,4,1,1,14,14,0,4
2,14,0,0,1,3.4452378336812,346,2.36281994946721,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,14,15,0,8
0,6,0,0,1,0,0,0,3,12,12,6,5,0,0,0,0,0,0,0,19,2,3,4,1,1,15,16,0,2
0,6,0,0,0,0,0,0,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,0,1,17,15,0,8
1,3,0,0,1,3,1136,3,10,12,8,4,4,0,0,0,0,0,0,0,19,2,4,0,0,1,16,15,0,8
0,11,0,0,0,3,335,3,5,12,15,6,4,0,0,0,0,0,0,0,14,2,4,4,1,1,14,13,0,8
0,11,0,0,0,4,75,4,5,12,15,6,4,0,0,0,0,0,0,0,14,2,4,4,1,1,14,13,0,4
1,1,0,0,0,6,97,3,5,16,17,6,4,0,0,0,0,0,0,0,19,2,4,0,1,0,15,18,1,4
2,10,0,0,1,3.4452378336812,1007,2.36281994946721,5,12,7,6,4,0,0,0,0,0,0,0,2,0,1,0,1,0,14,20,0,8
1,7,0,0,0,2,1085,2,1,12,14,6,4,0,0,0,0,0,0,0,8,2,4,2,1,1,13,14,1,8
0,7,0,0,0,3,214,3,10,12,15,6,4,0,0,0,0,0,0,0,8,2,4,4,1,1,15,15,0,8
0,6,0,0,1,6,1158,1.5,5,12,1,6,4,0,0,0,0,0,0,0,19,2,4,1,1,1,15,14,1,4
1,3,0,0,0,4,101,4,5,12,4,4,4,0,0,0,0,0,0,0,19,2,4,0,1,0,15,18,0,4
1,3,0,0,0,9,838,4.5,5,12,5,9,4,0,0,0,0,0,0,0,19,2,4,0,1,1,13,15,0,4
1,1,0,0,0,3,536,3,13,12,4,6,4,0,0,0,0,0,0,0,22,3,4,0,2,0,9,18,1,8
1,1,0,0,0,4,161,2,13,12,10,6,4,0,0,0,0,0,0,0,1,3,4,4,2,0,12,17,0,13
1,3,0,0,0,2,511,2,7,12,5,8,4,0,0,0,0,0,0,0,3,2,4,0,2,1,9,15,0,8
0,6,0,0,0,0,0,0,9,12,15,6,4,0,0,0,0,0,0,0,23,2,4,4,1,1,15,15,0,8
0,3,0,0,1,5,1110,5,9,12,7,6,5,0,0,0,0,0,0,0,19,2,3,4,0,1,16,16,0,8
1,1,0,0,1,5,1563,5,5,12,4,6,4,0,0,0,0,0,0,0,19,0,3,0,1,0,15,20,1,4
0,11,0,0,0,7,1633,3.5,1,12,15,6,4,0,0,0,0,0,0,0,14,2,4,4,1,1,14,13,0,8
0,6,0,0,1,0,0,0,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,15,15,0,8
1,3,0,0,0,12,809,4,13,12,4,3,4,0,0,0,0,0,0,0,19,2,4,0,1,0,13,18,0,8
1,1,0,0,0,2,638,2,10,21,5,6,4,0,0,0,0,0,0,0,24,2,4,0,1,1,14,15,1,8
0,3,0,0,1,5,1196,5,10,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,15,15,0,8
1,7,0,0,0,6,1485,6,5,12,17,6,4,0,0,0,0,0,0,0,14,2,4,1,1,1,14,16,1,4
0,3,0,0,0,9,125,3,10,12,15,6,4,0,0,0,0,0,0,0,8,2,4,0,1,1,14,15,0,8
0,3,0,0,1,3,165,3,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,15,15,0,8
1,3,0,0,0,6,398,3,9,12,3,8,4,0,0,0,0,0,0,0,19,2,4,0,1,1,15,15,1,9
0,7,0,0,0,3,570,3,1,12,15,6,4,0,0,0,0,0,0,0,8,2,4,0,1,1,13,15,0,8
1,7,0,0,1,6,895,6,5,12,12,6,4,0,0,0,0,0,0,0,19,2,0,2,1,0,14,18,1,4
1,3,0,0,1,4,1190,4,5,12,7,2,4,0,0,0,0,0,0,0,19,2,4,0,1,0,13,18,0,4
2,10,0,0,1,0,0,0,3,12,1,6,5,0,0,0,0,0,0,0,2,0,3,4,1,0,14,19,0,2
0,1,0,0,0,5,1566,5,1,12,15,6,4,0,0,0,0,0,0,0,4,2,4,4,2,1,11,15,0,8
0,3,0,0,1,5,727,5,5,12,15,6,4,0,0,0,0,0,0,0,19,0,0,5,1,1,14,15,0,4
1,3,0,0,0,8,652,4,13,12,6,4,4,0,0,0,0,0,0,0,14,2,4,0,1,1,13,15,0,8
0,7,0,0,0,4,1248,1.33,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,1,1,13,15,0,4
0,3,0,0,0,2,767,2,5,12,15,6,4,0,0,0,0,0,0,0,0,4,5,4,1,1,15,14,0,8
0,11,0,0,0,10,275,3.33,10,12,15,6,4,0,0,0,0,0,0,0,8,2,4,4,1,1,15,13,0,10
0,7,0,0,0,3,273,3,1,12,15,6,4,0,0,0,0,0,0,0,24,2,4,4,1,1,14,15,0,8
2,10,0,0,1,3.4452378336812,1111,2.36281994946721,5,12,10,6,5,0,0,0,0,0,0,0,2,1,3,1,1,0,14,18,0,8
1,3,0,0,0,8,277,4,5,12,4,3,4,0,0,0,0,0,0,0,19,2,4,0,1,0,14,18,0,4
0,7,0,0,1,3,1207,1.5,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,0,1,16,15,0,8
0,3,0,0,0,2,39,1,1,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,0,1,16,15,0,8
1,3,0,0,0,4,1638,4,5,12,4,6,4,0,0,0,0,0,0,0,14,3,4,0,2,0,12,18,1,4
0,11,0,0,0,16,53,16,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,1,1,15,13,0,8
1,1,0,0,0,1,127,1,1,12,4,6,4,0,0,0,0,0,0,0,0,2,4,0,0,0,16,18,1,8
1,7,1,0,0,5,100,5,10,12,17,6,4,0,0,0,0,0,0,0,24,2,4,0,1,0,15,18,1,8
1,3,1,0,0,4,323,4,14,12,9,2,4,0,0,0,0,0,0,0,19,2,4,0,1,0,13,18,0,14
0,3,0,0,1,2,160,1,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,0,1,16,15,0,8
2,10,0,0,1,0,0,0,5,12,10,6,0,0,0,0,0,0,0,0,2,0,3,4,1,0,15,19,0,8
0,3,0,0,0,1,263,1,1,12,15,6,4,0,0,0,0,0,0,0,8,3,2,4,1,1,14,14,0,8
0,3,0,0,0,2,1218,2,9,12,15,6,4,0,0,0,0,0,0,0,8,2,4,4,2,1,11,15,0,8
2,10,0,0,1,3.4452378336812,986,2.36281994946721,5,12,10,6,5,0,0,0,0,0,0,0,2,0,3,4,1,0,14,19,0,8
2,14,0,0,1,3.4452378336812,889,2.36281994946721,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,14,15,0,8
1,3,0,0,1,5,1091,5,13,12,4,3,4,0,0,0,0,0,0,0,19,0,3,0,1,0,13,20,0,13
1,1,0,0,0,4,291,4,9,12,17,6,4,0,0,0,0,0,0,0,19,2,4,1,1,1,14,16,1,8
2,10,0,0,1,0,0,0,5,12,6,6,4,0,0,0,0,0,0,0,2,0,3,5,1,1,15,16,0,8
0,3,1,0,0,1,1759,1,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,0,1,16,15,0,9
1,11,0,0,0,7,41,3.5,5,12,16,6,4,0,0,0,0,0,0,0,19,2,4,0,1,1,14,14,1,4
1,3,0,0,0,5,386,5,5,12,1,3,4,0,0,0,0,0,0,0,8,2,4,5,1,0,14,17,0,8
0,11,0,0,0,6,216,2,10,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,1,1,14,13,0,10
1,3,0,0,1,5,1603,5,5,12,12,3,4,0,0,0,0,0,0,0,19,0,3,0,1,0,14,20,0,4
1,17,0,0,0,7,106,3.5,10,12,15,2,4,0,0,0,0,0,0,0,19,2,4,1,1,1,14,13,0,8
0,3,0,0,0,2,73,2,13,12,15,6,4,0,0,0,0,0,0,0,24,3,4,4,2,1,12,15,0,8
0,3,0,0,0,2,77,2,1,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,13,15,0,8
1,1,0,0,0,3,718,3,13,12,6,6,4,0,0,0,0,0,0,0,19,2,4,5,1,1,13,14,1,8
1,3,0,0,0,5,432,1.67,9,12,10,9,4,0,0,0,0,0,0,0,19,2,4,0,1,0,14,18,0,9
1,3,0,0,0,5,232,2.5,5,12,7,3,4,0,0,0,0,0,0,0,8,2,2,1,1,1,13,16,0,4
1,1,0,0,0,2,702,2,5,12,6,6,4,0,0,0,0,0,0,0,12,2,4,1,1,1,14,13,1,4
1,7,0,0,1,5,614,5,13,12,4,6,4,0,0,0,0,0,0,0,19,1,3,5,1,0,15,19,1,13
1,1,0,0,1,1,1808,1,1,12,8,6,4,0,0,0,0,0,0,0,10,2,4,5,1,1,14,14,1,8
1,1,1,0,0,2,234,1,2,12,4,6,4,0,0,0,0,0,0,0,21,3,4,0,1,0,15,18,1,8
1,1,0,0,0,3,245,3,13,12,4,6,4,0,0,0,0,0,0,0,14,2,4,5,1,0,13,17,1,8
1,7,0,0,1,8,1268,4,5,12,12,6,4,0,0,0,0,0,0,0,19,2,4,0,0,0,16,18,1,4
1,3,0,0,0,2,56,2,2,12,15,3,4,0,0,0,0,0,0,0,24,2,4,0,2,1,12,15,0,8
0,11,0,0,0,4,174,2,3,12,15,6,4,0,0,0,0,0,0,0,8,2,4,4,1,1,13,13,0,8
1,1,0,0,0,4,1149,2,5,12,15,9,4,0,0,0,0,0,0,0,14,2,4,0,1,0,14,18,0,4
1,1,0,0,0,2,333,2,5,12,3,6,4,0,0,0,0,0,0,0,19,2,4,1,1,1,14,13,1,4
0,7,0,0,0,7,471,2.33,5,12,15,6,4,0,0,0,0,0,0,0,24,2,4,4,1,1,14,15,0,4
1,1,0,0,1,3,1010,3,5,12,17,6,4,0,0,0,0,0,0,0,19,2,4,3,1,1,15,16,1,4
0,6,0,0,1,10,1815,3.33,8,12,12,6,4,0,0,0,0,0,0,0,19,0,3,2,1,0,15,17,1,7
1,1,0,0,0,2,47,2,3,12,1,6,4,0,0,0,0,0,0,0,14,2,4,1,1,1,14,16,1,2
1,1,0,0,1,3,1528,1.5,5,12,12,6,4,0,0,0,0,0,0,0,19,2,4,1,1,1,14,16,1,8
1,3,0,0,1,6,919,6,5,12,4,3,4,0,0,0,0,0,0,0,19,0,3,0,1,0,14,20,0,4
0,7,0,0,0,10,194,5,3,12,11,3,4,0,0,0,0,0,0,0,8,2,4,0,1,1,13,15,0,8
0,7,0,0,0,1,1173,1,1,12,15,6,4,0,0,0,0,0,0,0,14,2,4,4,1,1,14,15,0,8
0,3,0,0,0,2,351,2,5,12,15,6,4,0,0,0,0,0,0,0,14,2,4,4,1,1,13,15,0,4
1,11,0,0,0,12,493,12,3,12,10,6,4,0,0,0,0,0,0,0,19,2,4,5,0,1,16,16,1,2
1,1,0,0,0,3,381,1.5,10,12,12,6,4,0,0,0,0,0,0,0,14,3,4,5,1,0,13,17,1,10
0,11,0,0,0,2,1944,2,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,1,1,14,13,0,4
1,3,0,0,0,5,65,5,13,12,7,3,4,0,0,0,0,0,0,0,14,2,4,5,1,0,13,17,0,8
0,7,0,0,0,7,1334,7,5,12,1,6,4,0,0,0,0,0,0,0,8,2,4,0,1,1,14,16,1,8
0,3,0,0,0,7,615,7,7,12,0,3,4,0,0,0,0,0,0,0,8,2,4,5,1,1,13,15,0,8
2,10,0,0,1,0,0,0,5,12,4,6,5,0,0,0,0,0,0,0,19,1,3,0,1,0,14,20,0,4
0,3,0,0,0,1,250,1,2,12,15,6,4,0,0,0,0,0,0,0,25,2,4,4,1,1,13,15,0,8
1,1,0,0,0,2,383,2,3,12,1,6,4,0,0,0,0,0,0,0,19,2,4,3,1,1,14,16,1,2
2,14,0,0,1,3.4452378336812,1240,2.36281994946721,5,12,15,6,4,0,0,0,0,0,0,0,2,1,3,0,1,0,14,18,0,8
2,10,0,0,1,0,0,0,5,12,0,6,5,0,0,0,0,0,0,0,19,2,3,4,1,0,14,19,0,4
2,14,0,0,1,3.4452378336812,458,2.36281994946721,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,14,15,0,8
2,14,0,0,1,3.4452378336812,1060,2.36281994946721,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,14,15,0,8
0,6,0,0,0,0,0,0,5,12,15,6,4,0,0,0,0,0,0,0,8,2,4,4,1,1,14,15,0,8
0,11,0,0,0,4,904,4,9,12,15,6,4,0,0,0,0,0,0,0,0,2,4,4,0,1,17,13,0,8
0,3,0,0,0,1,164,1,1,12,15,6,4,0,0,0,0,0,0,0,8,2,4,0,1,1,14,15,0,8
0,3,0,0,0,2,1793,2,1,12,15,6,4,0,0,0,0,0,0,0,20,2,4,4,2,1,11,15,0,8
0,7,0,0,0,5,1841,5,9,12,15,6,4,0,0,0,0,0,0,0,8,2,4,4,1,1,15,15,0,8
0,7,0,0,1,8,877,2.67,3,12,0,6,4,0,0,0,0,0,0,0,19,2,3,4,1,1,14,16,0,2
2,10,0,0,1,0,0,0,13,12,13,6,4,0,0,0,0,0,0,0,2,0,3,0,1,0,14,20,0,8
1,7,0,0,1,12,1411,6,5,12,4,6,4,0,0,0,0,0,0,0,19,2,4,1,0,1,16,16,1,4
0,7,0,0,1,6,385,6,1,12,15,6,4,0,0,0,0,0,0,0,19,1,3,5,1,1,15,16,0,8
0,6,0,0,0,0,0,0,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,0,1,17,15,0,8
0,3,0,0,0,12,68,1.71,10,12,11,9,4,0,0,0,0,0,0,0,19,2,4,0,0,1,16,15,0,8
0,6,0,0,0,0,0,0,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,0,1,17,15,0,8
1,3,0,0,0,3,192,3,5,12,9,3,4,0,0,0,0,0,0,0,19,2,4,5,1,0,14,17,0,4
1,3,0,0,0,5,309,5,9,12,4,9,4,0,0,0,0,0,0,0,19,2,4,0,1,0,15,18,0,8
2,10,0,0,1,3.4452378336812,785,2.36281994946721,0,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,0,15,17,0,8
0,7,0,0,0,4,342,4,5,12,15,6,4,0,0,0,0,0,0,0,24,2,4,4,1,1,14,15,0,8
0,3,0,0,0,2,78,1,5,12,15,6,4,0,0,0,0,0,0,0,14,2,4,4,1,1,15,15,0,4
0,6,0,0,0,0,0,0,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,0,1,17,15,0,8
0,6,0,0,0,0,0,0,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,0,0,1,17,15,0,8
0,7,0,0,1,5,1234,1.67,5,12,9,6,3,0,0,0,0,0,0,0,19,1,3,5,0,0,16,17,0,4
0,7,0,0,0,8,14,8,9,12,15,6,4,0,0,0,0,0,0,0,24,4,4,4,1,1,15,15,0,8
0,6,0,0,0,0,0,0,9,12,15,6,4,0,0,0,0,0,0,0,8,2,4,4,1,1,15,15,0,8
0,11,0,0,0,4,77,4,13,12,15,6,4,0,0,0,0,0,0,0,25,2,4,4,2,1,12,13,0,8
0,11,0,0,1,3,1299,3,9,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,0,1,16,13,0,8
2,10,0,0,1,0,0,0,5,12,4,6,4,0,0,0,0,0,0,0,19,0,3,2,1,0,14,19,0,4
0,11,0,0,0,2,457,2,5,12,15,6,4,0,0,0,0,0,0,0,8,2,4,4,1,1,13,13,0,8
0,7,0,0,0,5,358,5,10,33,15,6,4,0,0,0,0,0,0,0,1,3,4,4,1,1,15,15,0,8
1,1,0,0,0,3,481,3,3,12,0,6,4,0,0,0,0,0,0,0,19,2,4,1,1,1,13,16,1,2
0,1,0,0,0,2,205,2,9,12,15,6,4,0,0,0,0,0,0,0,6,2,4,4,2,1,11,15,0,8
1,1,0,0,1,1,1106,1,1,12,4,6,4,0,0,0,0,0,0,0,19,2,4,1,1,1,15,16,1,8
1,1,0,0,1,9,1953,1.8,5,12,17,3,4,0,0,0,0,0,0,0,19,2,4,5,1,0,15,17,0,8
2,10,0,0,1,3.4452378336812,1070,2.36281994946721,5,12,10,6,4,0,0,0,0,0,0,0,19,0,3,1,1,0,14,18,0,8
2,10,0,0,1,0,0,0,5,12,15,6,4,0,0,0,0,0,0,0,19,2,4,4,1,0,14,17,0,4
1,3,0,0,0,5,207,2.5,7,12,4,3,4,0,0,0,0,0,0,0,19,2,4,0,2,0,12,18,0,8
1,1,0,0,1,2,1587,2,5,12,3,2,4,0,0,0,0,0,0,0,19,2,4,1,1,1,14,13,0,4
1,1,0,0,1,2,1509,2,5,12,2,6,4,0,0,0,0,0,0,0,10,4,4,0,2,0,10,18,1,8
0,7,0,0,0,4,331,4,13,12,15,6,4,0,0,0,0,0,0,0,24,2,4,4,2,1,12,15,0,8
1,1,0,0,0,4,187,4,3,12,7,6,4,0,0,0,0,0,0,0,14,2,4,0,1,0,13,18,1,8
0,7,0,0,1,3,1407,1.5,1,12,7,6,4,0,0,0,0,0,0,0,19,2,4,4,1,1,15,15,0,8
